issue_type,record_id,source_table,resolution
Duplicate source row,CASE-000658,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-000769,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-000987,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-001026,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-001118,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-001210,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-001498,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-001609,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-002188,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-002378,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-002452,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-002692,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-003880,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-003978,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-004090,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-004328,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-004868,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-004969,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-005074,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-005117,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-005195,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-005198,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-005397,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-006021,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-006062,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-006103,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-006341,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-006358,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-006678,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-007013,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-007518,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-007625,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-007640,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-008286,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-008364,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-008410,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-008811,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-009106,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-009277,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-009463,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-009852,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-009970,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-010013,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-010101,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-010222,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-010244,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-010387,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-010576,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-010671,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-010733,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-010931,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-010976,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-011057,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-011122,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-011384,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-011388,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-011412,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-011615,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-011972,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-012477,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-012530,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-012689,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-012742,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-013016,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-013149,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-013347,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-013485,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-013613,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-013945,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-014063,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-014116,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-014761,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-014895,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-014915,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-014949,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-015487,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-015529,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-015537,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-015791,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-015816,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-015890,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-015935,raw_case,Lower-ranked duplicate retained only in raw layer
Duplicate source row,CASE-015984,raw_case,Lower-ranked duplicate retained only in raw layer
