event_id,case_id,event_datetime,from_status,to_status,team_key,event_type,business_hours_since_previous,synthetic_label
EVT-0000001,CASE-000001,2025-09-11 11:54:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000002,CASE-000001,2025-09-11 16:03:36,Submitted,Triaged,9,Status Change,2.68,Synthetic demonstration data — not actual University of Sydney results
EVT-0000003,CASE-000001,2025-09-12 19:27:17,Triaged,In Progress,9,Status Change,20.36,Synthetic demonstration data — not actual University of Sydney results
EVT-0000004,CASE-000001,2025-09-13 07:43:34,In Progress,Resolved,9,Status Change,28.27,Synthetic demonstration data — not actual University of Sydney results
EVT-0000005,CASE-000002,2025-12-31 15:13:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000006,CASE-000002,2025-12-31 19:24:54,Submitted,Triaged,7,Status Change,2.71,Synthetic demonstration data — not actual University of Sydney results
EVT-0000008,CASE-000002,2026-01-01 14:32:27,Assigned,Resolved,7,Status Change,15.05,Synthetic demonstration data — not actual University of Sydney results
EVT-0000009,CASE-000003,2025-06-16 09:43:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000010,CASE-000003,2025-06-16 14:42:12,Submitted,Triaged,5,Status Change,3.22,Synthetic demonstration data — not actual University of Sydney results
EVT-0000011,CASE-000003,2025-06-16 22:17:33,Triaged,Assigned,5,Status Change,8.11,Synthetic demonstration data — not actual University of Sydney results
EVT-0000012,CASE-000003,2025-06-17 13:25:16,Assigned,Resolved,5,Status Change,17.87,Synthetic demonstration data — not actual University of Sydney results
EVT-0000013,CASE-000004,2026-03-16 11:12:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000014,CASE-000004,2026-03-16 18:58:06,Submitted,Triaged,5,Status Change,5.01,Synthetic demonstration data — not actual University of Sydney results
EVT-0000015,CASE-000004,2026-03-18 06:21:29,Triaged,Withdrawn,5,Status Change,27.84,Synthetic demonstration data — not actual University of Sydney results
EVT-0000016,CASE-000005,2024-09-13 16:31:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000017,CASE-000005,2024-09-13 18:56:55,Submitted,Triaged,9,Status Change,1.57,Synthetic demonstration data — not actual University of Sydney results
EVT-0000018,CASE-000005,2024-09-13 22:01:14,Triaged,Assigned,9,Status Change,3.55,Synthetic demonstration data — not actual University of Sydney results
EVT-0000019,CASE-000005,2024-09-15 02:03:17,Assigned,Resolved,9,Status Change,21.64,Synthetic demonstration data — not actual University of Sydney results
EVT-0000020,CASE-000006,2026-08-06 12:02:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
