date,date_key,service_key,self_service_sessions,successful_completions,abandonments,estimated_cases_deflected,completion_rate,synthetic_label
2024-09-01 00:00:00,20240901,1,125,98,27,42,0.7821,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,92,51,41,29,0.5492,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,1,175,125,50,70,0.7169,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,2,199,110,89,63,0.5516,Synthetic demonstration data — not actual University of Sydney results
2024-09-03 00:00:00,20240903,1,139,97,42,40,0.6961,Synthetic demonstration data — not actual University of Sydney results
2024-09-03 00:00:00,20240903,2,137,81,56,41,0.5922,Synthetic demonstration data — not actual University of Sydney results
2024-09-04 00:00:00,20240904,1,139,93,46,51,0.6676,Synthetic demonstration data — not actual University of Sydney results
2024-09-04 00:00:00,20240904,2,120,60,60,30,0.5015,Synthetic demonstration data — not actual University of Sydney results
2024-09-05 00:00:00,20240905,1,115,82,33,42,0.7149,Synthetic demonstration data — not actual University of Sydney results
2024-09-05 00:00:00,20240905,2,138,82,56,46,0.5966,Synthetic demonstration data — not actual University of Sydney results
2024-09-06 00:00:00,20240906,1,126,83,43,34,0.6567,Synthetic demonstration data — not actual University of Sydney results
2024-09-06 00:00:00,20240906,2,114,68,46,28,0.5982,Synthetic demonstration data — not actual University of Sydney results
2024-09-07 00:00:00,20240907,1,136,89,47,45,0.6553,Synthetic demonstration data — not actual University of Sydney results
2024-09-07 00:00:00,20240907,2,121,73,48,41,0.6006,Synthetic demonstration data — not actual University of Sydney results
2024-09-08 00:00:00,20240908,1,105,65,40,27,0.6187,Synthetic demonstration data — not actual University of Sydney results
2024-09-08 00:00:00,20240908,2,87,48,39,23,0.5507,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,1,187,130,57,70,0.693,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,2,137,77,60,30,0.5587,Synthetic demonstration data — not actual University of Sydney results
2024-09-10 00:00:00,20240910,1,142,100,42,51,0.7012,Synthetic demonstration data — not actual University of Sydney results
2024-09-10 00:00:00,20240910,2,135,74,61,38,0.5447,Synthetic demonstration data — not actual University of Sydney results
2024-09-11 00:00:00,20240911,1,159,113,46,60,0.7118,Synthetic demonstration data — not actual University of Sydney results
2024-09-11 00:00:00,20240911,2,140,72,68,27,0.5132,Synthetic demonstration data — not actual University of Sydney results
2024-09-12 00:00:00,20240912,1,171,116,55,67,0.6802,Synthetic demonstration data — not actual University of Sydney results
