feedback_id,feedback_date,related_case_id,related_work_order_id,respondent_type,service_key,campus_key,cohort_key,feedback_type,csat_score,ces_score,feedback_theme,comment_text,response_valid,synthetic_label,feedback_date_key,csat_positive_flag
FDB-000001,2025-02-28 00:00:00,CASE-015637,,Student,2,1,2,Post-case survey,3,4,Outcome quality,Synthetic feedback concerning outcome quality for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250228,0
FDB-000002,2025-09-26 00:00:00,CASE-007068,,Student,1,2,1,Post-case survey,3,4,Outcome quality,Synthetic feedback concerning outcome quality for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250926,0
FDB-000003,2025-12-12 00:00:00,CASE-006226,,Student,3,1,3,Post-case survey,5,3,Outcome quality,Synthetic feedback concerning outcome quality for teaching room equipment.,1,Synthetic demonstration data — not actual University of Sydney results,20251212,1
FDB-000004,2025-10-16 00:00:00,CASE-014827,,Student,1,1,3,Post-case survey,5,5,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20251016,1
FDB-000005,2026-03-27 00:00:00,CASE-012591,,Student,1,1,4,Post-case survey,2,3,Waiting time,Synthetic feedback concerning waiting time for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20260327,0
FDB-000006,2025-04-30 00:00:00,CASE-006605,,Student,1,1,1,Post-case survey,4,4,Clarity,Synthetic feedback concerning clarity for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20250430,1
FDB-000007,2024-10-07 00:00:00,CASE-016448,,Student,3,1,2,Post-case survey,3,2,Communication,Synthetic feedback concerning communication for teaching room equipment.,1,Synthetic demonstration data — not actual University of Sydney results,20241007,0
FDB-000008,2025-01-26 00:00:00,CASE-004869,,Student,3,1,1,Post-case survey,3,5,Ownership,Synthetic feedback concerning ownership for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20250126,0
FDB-000009,2025-06-14 00:00:00,CASE-008022,,Academic Staff,2,1,6,Post-case survey,3,4,Outcome quality,Synthetic feedback concerning outcome quality for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20250614,0
FDB-000010,2026-07-27 00:00:00,CASE-013009,,Student,1,1,4,Post-case survey,3,2,Ease of use,Synthetic feedback concerning ease of use for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20260727,0
FDB-000011,2025-05-01 00:00:00,CASE-010995,,Academic Staff,2,1,6,Post-case survey,3,4,Waiting time,Synthetic feedback concerning waiting time for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20250501,0
FDB-000012,2025-10-13 00:00:00,CASE-000114,,Student,1,1,4,Post-case survey,3,3,Waiting time,Synthetic feedback concerning waiting time for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20251013,0
FDB-000013,2026-02-07 00:00:00,CASE-004097,,Student,2,1,1,Post-case survey,4,4,Clarity,Synthetic feedback concerning clarity for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20260207,1
FDB-000014,2026-07-24 00:00:00,CASE-010410,,Student,2,1,4,Post-case survey,3,3,Communication,Synthetic feedback concerning communication for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20260724,0
FDB-000015,2026-01-21 00:00:00,CASE-012344,,Student,1,1,3,Post-case survey,4,5,Waiting time,Synthetic feedback concerning waiting time for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20260121,1
FDB-000016,2025-01-03 00:00:00,CASE-012949,,Student,1,1,3,Post-case survey,3,3,Outcome quality,Synthetic feedback concerning outcome quality for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20250103,0
FDB-000017,2026-07-03 00:00:00,CASE-003598,,Student,2,1,1,Post-case survey,3,4,Clarity,Synthetic feedback concerning clarity for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20260703,0
FDB-000018,2026-05-13 00:00:00,CASE-007191,,Student,1,1,5,Post-case survey,4,3,Communication,Synthetic feedback concerning communication for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20260513,1
FDB-000019,2025-05-24 00:00:00,CASE-006376,,Student,1,3,4,Post-case survey,2,2,Waiting time,Synthetic feedback concerning waiting time for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250524,0
FDB-000020,2024-12-16 00:00:00,CASE-009236,,Student,3,1,2,Post-case survey,3,3,Ease of use,Synthetic feedback concerning ease of use for security and lighting.,1,Synthetic demonstration data — not actual University of Sydney results,20241216,0
FDB-000021,2025-02-15 00:00:00,CASE-001763,,Student,1,1,1,Post-case survey,3,3,Waiting time,Synthetic feedback concerning waiting time for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20250215,0
FDB-000022,2024-10-23 00:00:00,CASE-001304,,Student,1,1,5,Post-case survey,5,3,Waiting time,Synthetic feedback concerning waiting time for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20241023,1
FDB-000023,2025-01-17 00:00:00,CASE-000007,,Professional Staff,3,1,7,Post-case survey,4,4,Clarity,Synthetic feedback concerning clarity for accessibility.,1,Synthetic demonstration data — not actual University of Sydney results,20250117,1
FDB-000024,2025-02-25 00:00:00,CASE-001438,,Academic Staff,3,2,6,Post-case survey,3,3,Communication,Synthetic feedback concerning communication for teaching room equipment.,1,Synthetic demonstration data — not actual University of Sydney results,20250225,0
FDB-000025,2024-11-26 00:00:00,CASE-008220,,Student,3,1,4,Post-case survey,3,3,Ownership,Synthetic feedback concerning ownership for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20241126,0
FDB-000026,2025-05-12 00:00:00,CASE-005560,,Academic Staff,2,2,6,Post-case survey,3,4,Ease of use,Synthetic feedback concerning ease of use for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250512,0
FDB-000027,2026-03-27 00:00:00,CASE-012573,,Student,1,1,2,Post-case survey,5,4,Clarity,Synthetic feedback concerning clarity for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20260327,1
