interaction_id,case_id,interaction_datetime,channel_key,direction,requester_initiated,interaction_sequence,handle_minutes,synthetic_label
INT-0000001,CASE-000001,2025-09-11 11:54:00,4,Inbound,1,1,35,Synthetic demonstration data — not actual University of Sydney results
INT-0000002,CASE-000001,2025-09-13 01:45:24,1,Inbound,1,2,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000003,CASE-000002,2025-12-31 15:13:00,3,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000004,CASE-000003,2025-06-16 09:43:00,1,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000005,CASE-000003,2025-06-17 09:43:54,2,Inbound,1,2,24,Synthetic demonstration data — not actual University of Sydney results
INT-0000006,CASE-000004,2026-03-16 11:12:00,4,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000007,CASE-000005,2024-09-13 16:31:00,1,Inbound,1,1,30,Synthetic demonstration data — not actual University of Sydney results
INT-0000008,CASE-000006,2026-08-06 12:02:00,5,Inbound,1,1,7,Synthetic demonstration data — not actual University of Sydney results
INT-0000009,CASE-000007,2025-01-16 12:03:00,1,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000010,CASE-000007,2025-01-16 21:24:04,2,Inbound,1,2,14,Synthetic demonstration data — not actual University of Sydney results
INT-0000011,CASE-000008,2025-05-29 16:05:00,3,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000012,CASE-000008,2025-05-30 11:17:54,1,Inbound,1,2,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000013,CASE-000009,2025-01-16 17:54:00,1,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000014,CASE-000009,2025-01-17 03:55:53,2,Inbound,1,2,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000015,CASE-000010,2026-04-13 19:58:00,4,Inbound,1,1,24,Synthetic demonstration data — not actual University of Sydney results
INT-0000016,CASE-000011,2026-02-17 11:20:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000017,CASE-000011,2026-02-17 22:00:47,4,Outbound,0,2,28,Synthetic demonstration data — not actual University of Sydney results
INT-0000018,CASE-000012,2025-05-22 12:22:00,4,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000019,CASE-000013,2025-09-12 08:27:00,4,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0000020,CASE-000013,2025-09-14 02:29:21,1,Outbound,0,2,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000021,CASE-000014,2025-09-04 17:26:00,1,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
