week_start,week_date_key,team_key,service_key,fte_available,absence_rate,staffed_hours,cases_received,required_handle_hours,forecast_handle_hours,capacity_gap_hours,capacity_gap_pct,synthetic_label
2024-08-26 00:00:00,20240826,1,1,1.97,0.0831,44.52,2,2.73,2.57,-41.79,-0.9387,Synthetic demonstration data — not actual University of Sydney results
2024-08-26 00:00:00,20240826,2,1,1.89,0.0937,42.18,0,0.0,0.0,-42.18,-1.0,Synthetic demonstration data — not actual University of Sydney results
2024-08-26 00:00:00,20240826,3,1,1.78,0.1017,39.43,0,0.0,0.0,-39.43,-1.0,Synthetic demonstration data — not actual University of Sydney results
2024-08-26 00:00:00,20240826,4,1,1.79,0.1044,39.4,2,3.31,3.07,-36.09,-0.916,Synthetic demonstration data — not actual University of Sydney results
2024-08-26 00:00:00,20240826,5,2,2.19,0.0786,55.27,1,2.06,2.16,-53.21,-0.9627,Synthetic demonstration data — not actual University of Sydney results
2024-08-26 00:00:00,20240826,6,2,2.21,0.0858,55.2,2,1.75,1.61,-53.45,-0.9683,Synthetic demonstration data — not actual University of Sydney results
2024-08-26 00:00:00,20240826,7,2,2.05,0.059,52.68,1,1.24,1.32,-51.44,-0.9765,Synthetic demonstration data — not actual University of Sydney results
2024-08-26 00:00:00,20240826,8,3,1.57,0.0773,39.66,0,0.0,0.0,-39.66,-1.0,Synthetic demonstration data — not actual University of Sydney results
2024-08-26 00:00:00,20240826,9,3,1.6,0.094,39.67,2,2.23,2.38,-37.44,-0.9438,Synthetic demonstration data — not actual University of Sydney results
2024-08-26 00:00:00,20240826,10,3,1.58,0.1318,37.52,2,2.27,2.44,-35.25,-0.9395,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,1,1,1.99,0.01,53.8,11,13.29,13.16,-40.51,-0.753,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,2,1,2.05,0.0268,54.51,16,21.2,21.19,-33.31,-0.6111,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,3,1,1.89,0.0735,47.96,13,16.62,17.39,-31.34,-0.6535,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,4,1,2.0,0.0692,50.95,28,31.55,30.89,-19.4,-0.3808,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,5,2,1.94,0.0966,47.96,44,57.63,62.08,9.67,0.2016,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,6,2,1.84,0.0877,45.94,6,5.95,6.39,-39.99,-0.8705,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,7,2,2.13,0.1267,50.88,8,8.49,8.45,-42.39,-0.8331,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,8,3,1.56,0.026,41.59,8,9.15,9.42,-32.44,-0.78,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,9,3,1.45,0.0487,37.8,17,24.25,22.3,-13.55,-0.3585,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,10,3,1.38,0.0751,35.03,8,8.33,7.68,-26.7,-0.7622,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,1,1,1.98,0.0647,50.76,13,15.41,15.71,-35.35,-0.6964,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,2,1,2.05,0.0848,51.4,20,25.72,24.26,-25.68,-0.4996,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,3,1,1.72,0.0544,44.58,12,13.69,14.5,-30.89,-0.6929,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,4,1,1.88,0.0552,48.65,30,35.32,37.24,-13.33,-0.274,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,5,2,2.15,0.0645,54.95,32,35.33,37.65,-19.62,-0.3571,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,6,2,2.1,0.0588,54.0,6,8.11,8.39,-45.89,-0.8498,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,7,2,1.83,0.0982,45.09,8,8.7,8.89,-36.39,-0.8071,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,8,3,1.54,0.0596,39.62,5,5.37,5.69,-34.25,-0.8645,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,9,3,1.4,0.038,36.88,20,23.84,25.0,-13.04,-0.3536,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,10,3,1.63,0.0831,40.87,8,10.71,11.21,-30.16,-0.738,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,1,1,1.76,0.0431,45.98,14,14.7,15.28,-31.28,-0.6803,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,2,1,1.79,0.0551,46.2,12,14.47,15.21,-31.73,-0.6868,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,3,1,2.02,0.0468,52.61,16,20.03,19.48,-32.58,-0.6193,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,4,1,1.86,0.0938,46.19,29,34.66,36.38,-11.53,-0.2497,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,5,2,2.14,0.0783,53.91,44,48.5,52.12,-5.41,-0.1004,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,6,2,2.03,0.0762,51.35,6,7.12,6.88,-44.23,-0.8613,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,7,2,1.88,0.0519,48.69,10,10.25,9.9,-38.44,-0.7895,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,8,3,1.51,0.0532,39.07,2,1.7,1.73,-37.37,-0.9565,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,9,3,1.41,0.0516,36.57,21,26.73,27.5,-9.84,-0.269,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,10,3,1.41,0.0445,36.76,6,6.68,6.92,-30.08,-0.8183,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,1,1,1.86,0.0354,49.19,17,21.79,21.01,-27.4,-0.557,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,2,1,1.9,0.0376,49.99,21,27.8,25.85,-22.19,-0.4439,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,3,1,1.98,0.027,52.74,10,12.64,11.75,-40.1,-0.7603,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,4,1,2.05,0.0608,52.55,25,27.44,28.82,-25.11,-0.4779,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,5,2,2.23,0.0719,56.51,24,28.82,27.13,-27.69,-0.49,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,6,2,2.04,0.0895,50.77,3,3.11,3.18,-47.66,-0.9387,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,7,2,1.92,0.0267,51.1,10,12.5,12.29,-38.6,-0.7554,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,8,3,1.43,0.0612,36.68,4,4.4,4.66,-32.28,-0.8801,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,9,3,1.57,0.0293,41.74,22,31.74,33.4,-10.0,-0.2396,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,10,3,1.63,0.0401,42.86,4,5.27,5.41,-37.59,-0.8771,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,1,1,1.86,0.1202,44.86,12,16.23,16.21,-28.63,-0.6382,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,2,1,1.97,0.0406,51.77,17,17.68,16.31,-34.09,-0.6585,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,3,1,1.71,0.0342,45.06,10,13.01,13.74,-32.05,-0.7113,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,4,1,1.82,0.0486,47.41,25,27.13,26.78,-20.28,-0.4278,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,5,2,2.22,0.0711,56.32,25,26.05,25.01,-30.27,-0.5375,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,6,2,2.04,0.0438,53.41,4,5.27,5.03,-48.14,-0.9013,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,7,2,2.0,0.0385,52.61,5,4.49,4.38,-48.12,-0.9147,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,8,3,1.63,0.0387,42.88,2,2.23,2.19,-40.65,-0.948,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,9,3,1.63,0.0248,43.6,15,20.78,19.39,-22.82,-0.5234,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,10,3,1.56,0.0852,38.94,1,0.97,0.98,-37.97,-0.9751,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,1,1,2.06,0.0551,53.28,10,15.82,15.53,-37.46,-0.7031,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,2,1,1.83,0.0325,48.55,9,10.81,10.04,-37.74,-0.7773,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,3,1,2.01,0.0288,53.28,16,18.09,17.98,-35.19,-0.6605,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,4,1,1.73,0.0532,44.77,31,34.34,36.84,-10.43,-0.233,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,5,2,2.13,0.0621,54.57,34,35.42,37.53,-19.15,-0.3509,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,6,2,1.89,0.0547,49.01,0,0.0,0.0,-49.01,-1.0,Synthetic demonstration data — not actual University of Sydney results
