case_id,submitted_datetime,submitted_date_key,closed_datetime,service_key,team_key,campus_key,cohort_key,lifecycle_stage_key,channel_key,requester_type,case_type,category,priority,current_status,first_response_business_hours,triage_business_hours,assignment_business_hours,resolution_business_hours,first_response_sla_breached,resolution_sla_breached,handoff_count,reopened_flag,repeat_contact_14d,first_contact_resolution_flag,complexity_weight,staff_handle_hours,estimated_cost_aud,case_summary,synthetic_label,ai_theme,ai_summary,ai_recommended_owner,ai_confidence,ai_review_status,source_extract_ts
CASE-000001,2025-09-11 11:54:00,20250911,2025-09-13 07:43:34,3,9.0,2,7,5,4,Professional Staff,Service Request,Security and lighting,P3,Resolved,4.05,2.6,7.07,26.63,0,0,1,0,1,0,1.08,1.55,114.1,Service issue reported for security and lighting at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000002,2025-12-31 15:13:00,20251231,2026-01-01 14:32:27,2,7.0,1,5,3,3,Student,Idea,Wi-Fi and network,P4,Resolved,8.02,5.15,1.76,12.5,0,0,0,0,0,1,0.7,0.34,21.08,Unable to complete a university task because of wi-fi and network.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000003,2025-06-16 09:43:00,20250616,2025-06-17 13:25:16,2,5.0,1,5,3,1,Student,Service Request,Account access and login,P3,Resolved,10.2,5.3,2.56,16.35,0,0,0,0,1,0,1.01,0.48,29.76,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000004,2026-03-16 11:12:00,20260316,2026-03-18 06:21:29,2,5.0,1,7,5,4,Professional Staff,Service Request,Device and software,P4,Withdrawn,10.73,7.37,2.71,,0,0,0,0,0,0,0.84,0.72,44.64,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000005,2024-09-13 16:31:00,20240913,2024-09-15 02:03:17,3,9.0,1,6,5,1,Academic Staff,Service Request,Cleanliness,P3,Resolved,3.76,1.52,1.92,15.61,0,0,1,0,0,0,1.07,1.61,117.82,Service issue reported for cleanliness at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000006,2026-08-06 12:02:00,20260806,,1,1.0,1,3,2,5,Student,Service Request,Enrolment changes,P4,In Progress,3.54,0.91,8.95,,0,0,0,0,0,0,0.73,0.65,40.3,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000007,2025-01-16 12:03:00,20250116,2025-01-17 01:26:54,3,10.0,1,7,5,1,Professional Staff,Complaint,Accessibility,P2,Resolved,2.9,1.23,1.77,6.58,0,0,0,0,1,0,1.38,1.63,119.06,Service issue reported for accessibility at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000008,2025-05-29 16:05:00,20250529,2025-05-30 17:20:31,1,3.0,1,2,4,3,Student,Service Request,Fees and payments,P2,Resolved,5.73,3.51,2.74,13.46,0,0,0,0,1,0,1.74,1.77,109.74,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000009,2025-01-16 17:54:00,20250116,2025-01-17 22:12:43,1,1.0,1,2,3,1,Student,Service Request,Enrolment changes,P3,Resolved,9.18,5.93,5.83,15.01,0,0,1,0,1,0,0.9,0.8,49.6,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000010,2026-04-13 19:58:00,20260413,2026-04-22 00:16:49,1,4.0,1,1,4,4,Student,Service Request,Academic progression,P4,Resolved,12.9,6.55,22.51,124.4,0,1,1,0,0,0,0.62,0.68,42.16,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
