week_start,week_date_key,service_key,actual_cases,predicted_cases,lower_95_cases,upper_95_cases,predicted_handle_hours,typical_capacity_hours,predicted_capacity_gap_hours,record_type,model_version,forecast_generated_date,synthetic_label
2024-08-26 00:00:00,20240826,1,4.0,104.31,73.54,135.08,127.76,111.05,16.71,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-09-02 00:00:00,20240902,1,68.0,65.49,34.72,96.26,80.21,111.05,-30.84,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-09-09 00:00:00,20240909,1,75.0,65.59,34.82,96.36,80.34,111.05,-30.72,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,1,71.0,65.74,34.97,96.51,80.52,111.05,-30.53,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,1,73.0,65.95,35.17,96.72,80.77,111.05,-30.28,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,1,64.0,66.2,35.43,96.97,81.08,111.05,-29.97,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,1,66.0,66.5,35.73,97.27,81.45,111.05,-29.6,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,1,69.0,66.85,36.08,97.62,81.88,111.05,-29.18,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,1,78.0,67.23,36.46,98.01,82.35,111.05,-28.7,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,1,74.0,67.66,36.89,98.43,82.87,111.05,-28.18,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,1,76.0,68.12,37.34,98.89,83.43,111.05,-27.62,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,1,73.0,68.6,37.83,99.37,84.02,111.05,-27.03,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,1,79.0,69.1,38.33,99.87,84.64,111.05,-26.41,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,1,72.0,69.62,38.85,100.39,85.28,111.05,-25.77,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,1,70.0,70.15,39.38,100.92,85.93,111.05,-25.13,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,1,81.0,70.68,39.91,101.46,86.58,111.05,-24.48,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,1,74.0,71.21,40.44,101.98,87.22,111.05,-23.83,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,1,62.0,71.73,40.96,102.5,87.86,111.05,-23.19,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2024-12-30 00:00:00,20241230,1,72.0,72.23,41.46,103.01,88.48,111.05,-22.58,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-01-06 00:00:00,20250106,1,92.0,72.72,41.94,103.49,89.07,111.05,-21.99,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-01-13 00:00:00,20250113,1,75.0,73.17,42.4,103.94,89.62,111.05,-21.43,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-01-20 00:00:00,20250120,1,72.0,73.59,42.82,104.36,90.14,111.05,-20.92,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-01-27 00:00:00,20250127,1,91.0,73.97,43.2,104.75,90.61,111.05,-20.45,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-02-03 00:00:00,20250203,1,139.0,113.18,82.41,143.95,138.63,111.05,27.58,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-02-10 00:00:00,20250210,1,116.0,113.48,82.71,144.25,138.99,111.05,27.94,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-02-17 00:00:00,20250217,1,126.0,113.73,82.96,144.5,139.3,111.05,28.25,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-02-24 00:00:00,20250224,1,116.0,113.93,83.16,144.7,139.54,111.05,28.49,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-03-03 00:00:00,20250303,1,120.0,114.07,83.3,144.84,139.72,111.05,28.67,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-03-10 00:00:00,20250310,1,118.0,114.17,83.4,144.94,139.84,111.05,28.78,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-03-17 00:00:00,20250317,1,101.0,114.21,83.44,144.98,139.89,111.05,28.84,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-03-24 00:00:00,20250324,1,120.0,114.2,83.43,144.97,139.88,111.05,28.82,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-03-31 00:00:00,20250331,1,72.0,114.14,83.37,144.91,139.8,111.05,28.75,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-04-07 00:00:00,20250407,1,72.0,75.17,44.4,105.94,92.07,111.05,-18.99,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-04-14 00:00:00,20250414,1,78.0,75.01,44.24,105.78,91.88,111.05,-19.17,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-04-21 00:00:00,20250421,1,71.0,74.82,44.05,105.59,91.64,111.05,-19.41,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-04-28 00:00:00,20250428,1,71.0,74.59,43.82,105.36,91.36,111.05,-19.7,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-05-05 00:00:00,20250505,1,74.0,74.32,43.55,105.09,91.03,111.05,-20.02,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-05-12 00:00:00,20250512,1,63.0,74.03,43.26,104.8,90.68,111.05,-20.38,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-05-19 00:00:00,20250519,1,78.0,73.72,42.95,104.49,90.29,111.05,-20.76,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-05-26 00:00:00,20250526,1,82.0,73.39,42.62,104.16,89.89,111.05,-21.16,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-06-02 00:00:00,20250602,1,69.0,73.05,42.28,103.82,89.47,111.05,-21.58,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
2025-06-09 00:00:00,20250609,1,70.0,72.71,41.93,103.48,89.05,111.05,-22.0,Historical fit,seasonal_linear_v1,2026-08-15 00:00:00,Synthetic demonstration data — not actual University of Sydney results
