month_start,month_date_key,campus_key,cohort_key,lifecycle_stage_key,active_users,synthetic_label
2024-09-01 00:00:00,20240901,1,1,1,1171,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,1,2,4295,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,1,3,11716,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,1,4,2343,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,1,1,228,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,1,2,836,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,1,3,2281,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,1,4,456,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,1,1,104,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,1,2,384,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,1,3,1048,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,1,4,209,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,2,1,696,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,2,2,2554,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,2,3,6966,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,2,4,1393,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,2,1,136,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,2,2,501,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,2,3,1368,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,2,4,273,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,2,1,62,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,2,2,228,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,2,3,622,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,2,4,124,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,3,1,379,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,3,2,1391,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,3,3,3793,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,3,4,758,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,3,1,71,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,3,2,262,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,3,3,715,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,3,4,143,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,3,1,33,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,3,2,124,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,3,3,338,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,3,4,67,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,4,1,553,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,4,2,2029,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,4,3,5536,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,4,4,1107,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,4,1,107,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,4,2,394,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,4,3,1075,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,4,4,215,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,4,1,50,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,4,2,186,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,4,3,508,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,4,4,101,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,5,1,234,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,5,2,859,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,5,3,2343,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,5,4,468,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,5,1,45,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,5,2,165,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,5,3,451,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,5,4,90,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,5,1,20,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,5,2,76,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,5,3,208,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,5,4,41,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,6,5,3277,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,6,5,639,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,6,5,293,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,1,7,5,5877,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,2,7,5,1137,Synthetic demonstration data — not actual University of Sydney results
2024-09-01 00:00:00,20240901,3,7,5,526,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,1,1,1174,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,1,2,4307,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,1,3,11746,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,1,4,2349,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,1,1,228,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,1,2,836,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,1,3,2280,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,1,4,456,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,1,1,105,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,1,2,385,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,1,3,1051,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,1,4,210,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,2,1,705,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,2,2,2586,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,2,3,7053,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,2,4,1410,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,2,1,136,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,2,2,501,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,2,3,1368,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,2,4,273,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,2,1,63,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,2,2,234,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,2,3,639,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,2,4,127,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,3,1,373,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,3,2,1369,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,3,3,3733,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,3,4,746,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,3,1,73,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,3,2,268,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,3,3,732,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,3,4,146,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,3,1,33,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,3,2,122,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,3,3,333,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,3,4,66,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,4,1,573,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,4,2,2101,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,4,3,5732,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,4,4,1146,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,4,1,107,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,4,2,394,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,4,3,1077,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,4,4,215,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,4,1,50,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,4,2,185,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,4,3,506,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,4,4,101,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,5,1,238,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,5,2,873,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,5,3,2382,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,5,4,476,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,5,1,45,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,5,2,165,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,5,3,450,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,5,4,90,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,5,1,21,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,5,2,78,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,5,3,213,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,5,4,42,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,6,5,3301,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,6,5,627,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,6,5,298,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,7,5,5860,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,7,5,1128,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,3,7,5,526,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,1,1,1199,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,1,2,4398,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,1,3,11997,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,1,4,2399,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,1,1,227,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,1,2,835,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,1,3,2278,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,1,4,455,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,1,1,105,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,1,2,387,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,1,3,1056,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,1,4,211,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,2,1,705,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,2,2,2586,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,2,3,7053,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,2,4,1410,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,2,1,135,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,2,2,496,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,2,3,1354,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,2,4,270,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,2,1,63,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,2,2,234,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,2,3,639,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,2,4,127,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,3,1,373,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,3,2,1370,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,3,3,3736,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,3,4,747,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,3,1,72,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,3,2,266,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,3,3,726,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,3,4,145,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,3,1,34,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,3,2,125,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,3,3,342,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,3,4,68,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,4,1,571,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,4,2,2094,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,4,3,5711,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,4,4,1142,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,4,1,107,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,4,2,394,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,4,3,1077,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,4,4,215,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,4,1,51,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,4,2,187,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,4,3,511,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,3,4,4,102,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,5,1,235,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,5,2,864,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,5,3,2358,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,5,4,471,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,5,1,46,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,5,2,169,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,5,3,461,Synthetic demonstration data — not actual University of Sydney results
