work_order_id,case_id,created_datetime,completed_datetime,campus_key,team_key,category,contractor_name,response_business_hours,completion_business_hours,on_time_flag,rework_flag,contractor_cost_aud,synthetic_label
WO-00001,CASE-010132,2025-12-31 16:32:00,2026-01-05 06:53:44,1,9,Study spaces,Learning Spaces Technical,14.32,73.57,1,0,100.49,Synthetic demonstration data — not actual University of Sydney results
WO-00002,CASE-013208,2024-11-26 16:28:00,2024-11-28 06:23:49,2,9,HVAC and temperature,Metro Building Care,4.42,25.29,1,0,395.96,Synthetic demonstration data — not actual University of Sydney results
WO-00003,CASE-017592,2025-04-11 12:37:00,2025-04-12 20:12:14,2,9,Study spaces,Metro Building Care,4.82,21.06,0,1,448.55,Synthetic demonstration data — not actual University of Sydney results
WO-00004,CASE-003356,2025-01-10 12:26:00,2025-01-11 06:24:04,2,9,HVAC and temperature,Learning Spaces Technical,3.62,11.98,1,0,282.87,Synthetic demonstration data — not actual University of Sydney results
WO-00005,CASE-009563,2026-08-04 16:52:00,2026-08-06 09:54:02,1,9,Cleanliness,Metro Building Care,11.31,27.36,1,0,131.6,Synthetic demonstration data — not actual University of Sydney results
WO-00006,CASE-017415,2025-07-02 16:14:00,2025-07-04 12:19:49,2,9,HVAC and temperature,Metro Building Care,4.48,29.4,1,0,584.04,Synthetic demonstration data — not actual University of Sydney results
WO-00007,CASE-006231,2026-07-03 11:07:00,2026-07-04 22:14:25,1,9,Cleanliness,CampusWorks Services,21.44,23.42,0,0,448.11,Synthetic demonstration data — not actual University of Sydney results
WO-00008,CASE-003734,2025-03-03 12:11:00,2025-03-05 16:09:55,1,9,Cleanliness,Learning Spaces Technical,5.05,34.65,1,0,191.04,Synthetic demonstration data — not actual University of Sydney results
WO-00009,CASE-017846,2025-08-27 12:48:00,2025-08-28 15:37:15,3,9,Cleanliness,Metro Building Care,3.73,17.88,1,0,275.65,Synthetic demonstration data — not actual University of Sydney results
WO-00010,CASE-002617,2026-06-13 12:22:00,2026-06-15 05:25:02,1,9,Study spaces,Learning Spaces Technical,3.8,27.37,1,0,396.1,Synthetic demonstration data — not actual University of Sydney results
WO-00011,CASE-005288,2024-09-19 11:03:00,2024-09-21 14:10:06,1,9,HVAC and temperature,CampusWorks Services,22.91,34.08,1,0,257.74,Synthetic demonstration data — not actual University of Sydney results
WO-00012,CASE-003192,2024-09-14 13:20:00,2024-09-17 04:45:22,1,8,Teaching room equipment,Metro Building Care,6.21,42.28,1,0,353.73,Synthetic demonstration data — not actual University of Sydney results
WO-00013,CASE-009213,2026-01-14 14:43:00,2026-01-15 06:12:38,1,9,Security and lighting,Learning Spaces Technical,2.29,10.33,1,1,134.44,Synthetic demonstration data — not actual University of Sydney results
WO-00014,CASE-008819,2025-09-23 14:24:00,2025-09-25 03:13:15,2,9,Cleanliness,Metro Building Care,3.9,24.55,1,0,525.26,Synthetic demonstration data — not actual University of Sydney results
WO-00015,CASE-014414,2025-11-28 14:26:00,2025-11-30 19:48:56,2,9,Study spaces,CampusWorks Services,3.47,35.59,0,1,400.3,Synthetic demonstration data — not actual University of Sydney results
WO-00016,CASE-000366,2025-02-28 08:27:00,2025-03-01 02:09:20,1,10,Accessibility,Learning Spaces Technical,8.09,11.8,1,0,120.18,Synthetic demonstration data — not actual University of Sydney results
WO-00017,CASE-011906,2026-03-23 11:46:00,2026-03-26 08:17:16,1,8,Teaching room equipment,Metro Building Care,6.66,45.68,1,0,242.18,Synthetic demonstration data — not actual University of Sydney results
WO-00018,CASE-000241,2025-09-09 09:18:00,2025-09-10 19:16:56,1,8,Teaching room equipment,Metro Building Care,1.74,22.65,1,0,180.17,Synthetic demonstration data — not actual University of Sydney results
WO-00019,CASE-006432,2025-09-24 18:31:00,2025-09-25 16:17:34,2,9,Study spaces,Metro Building Care,4.71,14.52,1,0,193.12,Synthetic demonstration data — not actual University of Sydney results
WO-00020,CASE-005590,2025-05-01 17:41:00,2025-05-03 22:24:15,1,9,Study spaces,Learning Spaces Technical,4.22,35.15,0,0,263.13,Synthetic demonstration data — not actual University of Sydney results
WO-00021,CASE-003725,2025-10-17 14:13:00,2025-10-18 16:03:47,1,9,Cleanliness,Metro Building Care,11.05,17.23,1,0,58.19,Synthetic demonstration data — not actual University of Sydney results
WO-00022,CASE-017751,2025-08-04 17:49:00,2025-08-07 05:31:53,1,9,Study spaces,Learning Spaces Technical,4.84,39.81,1,0,369.45,Synthetic demonstration data — not actual University of Sydney results
WO-00023,CASE-017059,2025-01-06 14:26:00,2025-01-10 01:12:04,2,9,Cleanliness,CampusWorks Services,3.99,55.18,1,0,295.81,Synthetic demonstration data — not actual University of Sydney results
WO-00024,CASE-003761,2025-03-11 13:02:00,2025-03-15 15:47:48,2,8,Teaching room equipment,Metro Building Care,7.85,65.84,1,0,236.44,Synthetic demonstration data — not actual University of Sydney results
WO-00025,CASE-017613,2024-11-22 19:18:00,2024-11-23 17:24:57,2,9,Cleanliness,Metro Building Care,4.49,14.74,1,0,429.97,Synthetic demonstration data — not actual University of Sydney results
WO-00026,CASE-000915,2025-01-19 12:35:00,2025-01-25 14:12:14,1,9,HVAC and temperature,Learning Spaces Technical,12.03,97.08,1,0,145.36,Synthetic demonstration data — not actual University of Sydney results
WO-00027,CASE-006770,2025-08-14 12:20:00,2025-08-16 08:48:12,1,10,Accessibility,Metro Building Care,4.26,29.65,0,0,288.61,Synthetic demonstration data — not actual University of Sydney results
WO-00028,CASE-012490,2025-02-13 18:40:00,2025-02-17 04:47:05,1,9,HVAC and temperature,Learning Spaces Technical,17.75,54.75,1,0,197.17,Synthetic demonstration data — not actual University of Sydney results
WO-00029,CASE-001805,2025-07-23 14:14:00,2025-07-26 08:37:34,1,9,HVAC and temperature,Metro Building Care,4.87,44.26,1,0,1556.94,Synthetic demonstration data — not actual University of Sydney results
WO-00030,CASE-004090,2024-10-01 17:19:00,2024-10-03 11:10:23,1,9,Study spaces,Metro Building Care,7.92,27.9,1,1,187.43,Synthetic demonstration data — not actual University of Sydney results
WO-00031,CASE-007041,2026-05-19 14:05:00,2026-05-20 20:48:57,1,10,Accessibility,CampusWorks Services,4.62,20.49,1,1,139.55,Synthetic demonstration data — not actual University of Sydney results
WO-00032,CASE-001601,2025-04-12 18:34:00,2025-04-17 20:26:53,1,9,Cleanliness,Learning Spaces Technical,6.71,81.25,1,0,214.04,Synthetic demonstration data — not actual University of Sydney results
WO-00033,CASE-012921,2025-08-22 12:36:00,2025-08-25 03:51:26,1,9,Cleanliness,CampusWorks Services,3.71,42.17,1,0,530.58,Synthetic demonstration data — not actual University of Sydney results
WO-00034,CASE-011129,2025-05-15 15:09:00,2025-05-16 05:32:32,1,9,Cleanliness,Learning Spaces Technical,1.83,9.59,0,0,357.86,Synthetic demonstration data — not actual University of Sydney results
WO-00035,CASE-012112,2025-08-29 08:21:00,2025-08-30 06:32:57,3,9,Study spaces,Learning Spaces Technical,2.49,14.8,1,0,404.42,Synthetic demonstration data — not actual University of Sydney results
WO-00036,CASE-007794,2025-09-30 13:38:00,2025-10-03 11:22:44,1,9,HVAC and temperature,CampusWorks Services,25.57,46.5,1,0,973.99,Synthetic demonstration data — not actual University of Sydney results
WO-00037,CASE-017119,2026-06-14 13:52:00,2026-06-15 09:48:29,1,9,Security and lighting,Learning Spaces Technical,4.13,13.29,1,1,302.76,Synthetic demonstration data — not actual University of Sydney results
WO-00038,CASE-014276,2025-05-28 11:55:00,2025-06-01 19:18:59,2,9,HVAC and temperature,Learning Spaces Technical,2.0,68.93,1,0,332.57,Synthetic demonstration data — not actual University of Sydney results
WO-00039,CASE-001984,2026-07-18 18:41:00,2026-07-20 15:15:57,1,9,Security and lighting,CampusWorks Services,5.77,29.72,0,0,253.69,Synthetic demonstration data — not actual University of Sydney results
WO-00040,CASE-007091,2025-01-15 20:53:00,2025-01-16 20:24:46,2,10,Accessibility,Metro Building Care,4.4,15.69,0,0,420.75,Synthetic demonstration data — not actual University of Sydney results
WO-00041,CASE-000726,2025-09-22 12:28:00,2025-09-23 09:42:58,3,10,Accessibility,Metro Building Care,7.59,14.17,1,0,557.0,Synthetic demonstration data — not actual University of Sydney results
WO-00042,CASE-017298,2025-09-13 13:41:00,2025-09-14 03:31:57,2,9,Cleanliness,Learning Spaces Technical,5.67,9.23,0,0,199.71,Synthetic demonstration data — not actual University of Sydney results
WO-00043,CASE-013484,2025-12-22 11:11:00,2025-12-24 18:19:31,1,9,HVAC and temperature,Learning Spaces Technical,6.14,36.76,1,0,215.77,Synthetic demonstration data — not actual University of Sydney results
WO-00044,CASE-002684,2026-01-11 15:45:00,2026-01-12 04:05:14,3,9,HVAC and temperature,Learning Spaces Technical,4.18,8.22,1,0,935.23,Synthetic demonstration data — not actual University of Sydney results
WO-00045,CASE-008480,2025-08-01 20:02:00,2025-08-03 23:26:11,2,9,Study spaces,Metro Building Care,3.6,34.27,0,0,306.91,Synthetic demonstration data — not actual University of Sydney results
WO-00046,CASE-004599,2025-12-16 12:21:00,2025-12-19 23:00:05,1,9,HVAC and temperature,CampusWorks Services,7.36,55.1,1,0,186.51,Synthetic demonstration data — not actual University of Sydney results
WO-00047,CASE-003556,2026-07-15 11:18:00,2026-07-18 04:20:20,1,9,HVAC and temperature,Learning Spaces Technical,23.13,43.36,0,0,384.84,Synthetic demonstration data — not actual University of Sydney results
WO-00048,CASE-006741,2024-11-14 10:10:00,2024-11-18 05:21:41,2,9,HVAC and temperature,CampusWorks Services,3.28,60.8,1,0,251.4,Synthetic demonstration data — not actual University of Sydney results
WO-00049,CASE-000839,2026-05-26 14:07:00,2026-05-27 05:37:05,2,9,Study spaces,CampusWorks Services,2.6,10.33,0,0,894.3,Synthetic demonstration data — not actual University of Sydney results
WO-00050,CASE-017227,2025-02-06 14:32:00,2025-02-07 00:15:49,1,9,Security and lighting,Learning Spaces Technical,2.67,6.49,1,0,246.08,Synthetic demonstration data — not actual University of Sydney results
WO-00051,CASE-006474,2026-05-10 14:05:00,2026-05-11 22:54:49,1,9,HVAC and temperature,CampusWorks Services,10.99,21.89,1,0,931.78,Synthetic demonstration data — not actual University of Sydney results
WO-00052,CASE-003637,2025-03-28 17:43:00,2025-03-29 14:36:51,1,9,Security and lighting,CampusWorks Services,5.43,13.93,1,0,273.6,Synthetic demonstration data — not actual University of Sydney results
WO-00053,CASE-010704,2025-10-13 13:00:00,2025-10-14 18:07:38,2,10,Accessibility,CampusWorks Services,1.69,19.42,1,0,146.52,Synthetic demonstration data — not actual University of Sydney results
WO-00054,CASE-011825,2025-07-12 08:15:00,2025-07-15 00:06:21,1,8,Teaching room equipment,Learning Spaces Technical,2.28,42.57,1,0,380.05,Synthetic demonstration data — not actual University of Sydney results
WO-00055,CASE-017921,2024-10-19 18:14:00,2024-10-20 01:39:41,3,10,Accessibility,Learning Spaces Technical,3.95,4.95,1,0,168.47,Synthetic demonstration data — not actual University of Sydney results
WO-00056,CASE-013826,2026-03-17 15:30:00,2026-03-19 01:01:50,2,10,Accessibility,Metro Building Care,3.67,22.35,1,0,358.88,Synthetic demonstration data — not actual University of Sydney results
WO-00057,CASE-015711,2025-08-12 10:04:00,2025-08-13 10:56:24,1,10,Accessibility,CampusWorks Services,4.64,16.58,1,0,639.54,Synthetic demonstration data — not actual University of Sydney results
WO-00058,CASE-002097,2025-04-26 17:10:00,2025-04-27 23:41:12,1,9,Study spaces,Learning Spaces Technical,19.35,20.35,1,0,276.8,Synthetic demonstration data — not actual University of Sydney results
